ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,date_of_birth,gender,reelected_mp,former_mp
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,2019-12-16 11:28:43.317837,Lab hold,Lab,Labour,,Stephen,Kinnock,Nathan,4359,1970-01-01,Male,Yes,Yes
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,2019-12-14 15:33:14.066922,Con hold,Con,Conservative,,Robin,Millar,John,,,Male,No,No
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,2019-12-14 15:27:51.690501,SNP hold,SNP,Scottish National Party,"",Kirsty,Blackman,Ann,4357,1986-03-20,Female,Yes,Yes
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,2019-12-14 15:31:41.7183,SNP gain from Con,SNP,Scottish National Party,,Stephen,Flynn,Mark,,,Male,No,No
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,2019-12-16 12:08:24.955818,SNP hold,SNP,Scottish National Party,,Neil,Gray,Charles,4365,1986-03-16,Male,Yes,Yes
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,2019-12-14 14:25:24.71014,Con hold,Con,Conservative,"",Leo,Docherty,"",4600,1976-10-04,Male,Yes,Yes
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,2019-12-16 16:55:37.648638,Con hold,Con,Conservative,"",Wendy,Morton,"",4358,1967-11-09,Female,Yes,Yes
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,2019-12-16 14:10:51.603153,Con hold,Con,Conservative,Mr,Graham,Brady,Stuart,435,1967-05-20,Male,Yes,Yes
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,2019-12-16 11:29:24.124947,Lab hold,Lab,Labour,,Mark,Tami,Richard,1383,1962-10-03,Male,Yes,Yes
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,2019-12-16 10:48:50.079829,Con hold,Con,Conservative,"",Nigel,Mills,John,4136,1974-10-28,Male,Yes,Yes
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,2019-12-14 15:37:02.250872,SNP gain from Con,SNP,Scottish National Party,,Dave,Doogan,"",,,Male,No,No
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,2019-12-16 14:06:35.497635,PC hold,PC,Plaid Cymru,,Hywel,Williams,"",1397,1953-05-14,Male,Yes,Yes
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,2019-12-14 15:39:13.953307,SNP hold,SNP,Scottish National Party,"",Brendan,O'Hara,"",4371,1963-04-27,Male,Yes,Yes
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,2019-12-14 14:27:38.315562,Con hold,Con,Conservative,,Andrew,Griffith,"",,,Male,No,No
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,2019-12-16 11:36:37.660576,Con gain from Lab,Con,Conservative,,Lee,Anderson,"",,,Male,No,No
E14000536,E12000008,Ashford,Kent,South East,England,County,2019-12-16 11:27:19.767012,Con hold,Con,Conservative,"",Damian,Green,Howard,76,1956-01-17,Male,Yes,Yes
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,2019-12-14 15:22:39.943991,Lab hold,Lab,Labour,,Angela,Rayner,"",4356,1980-03-28,Female,Yes,Yes
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,2019-12-14 14:28:46.256585,Con hold,Con,Conservative,,Rob,Butler,"",,,Male,No,No
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,2019-12-14 15:40:56.099797,SNP gain from Con,SNP,Scottish National Party,,Allan,Dorans,Hopkins,,,Male,No,No
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,2019-12-16 12:57:13.061889,Con hold,Con,Conservative,"",Victoria,Prentis,Mary Boswell,4401,1971-03-24,Female,Yes,Yes
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,2019-12-14 15:43:18.793745,Con hold,Con,Conservative,"",David,Duguid,James,4606,1970-10-08,Male,Yes,Yes
E14000540,E12000007,Barking,London,London,England,Borough,2019-12-14 15:37:44.118497,Lab hold,Lab,Labour,Dame,Margaret,Hodge,Eve,140,1944-09-08,Female,Yes,Yes
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-14 15:18:39.567823,Lab hold,Lab,Labour,"",Daniel,Jarvis,Owen,4243,1972-11-30,Male,Yes,Yes
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,2019-12-14 15:20:03.646821,Lab hold,Lab,Labour,"",Stephanie,Peacock,Louise,4607,1986-12-19,Female,Yes,Yes
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,2019-12-16 14:41:12.731274,Con gain from Lab Coop,Con,Conservative,,Simon,Fell,Richard James,,,Male,No,No
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,2019-12-14 15:03:15.231493,Con hold,Con,Conservative,Mr,John,Baron,Charles,1390,1959-06-21,Male,Yes,Yes
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,2019-12-14 14:29:52.61811,Con hold,Con,Conservative,Mrs,Maria,Miller,Frances Lewis,1480,1964-03-26,Female,Yes,Yes
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,2019-12-16 12:10:38.718113,Con gain from Lab,Con,Conservative,,Brendan,Clarke-Smith,"",,1980-08-17,Male,No,No
E14000547,E12000009,Bath,Avon,South West,England,Borough,2019-12-16 11:25:36.561938,LD hold,LD,Liberal Democrat,,Wera,Hobhouse,Benedicta,4602,1960-02-08,Female,Yes,Yes
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-14 15:21:27.258333,Lab hold,Lab,Labour and Co-operative,"",Tracy,Brabin,Lynn,4588,1961-05-09,Female,Yes,Yes
E14000549,E12000007,Battersea,London,London,England,Borough,2019-12-16 12:11:05.421565,Lab hold,Lab,Labour,"",Marsha,De Cordova,Chantol,4676,1976-01-23,Female,Yes,Yes
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,2019-12-14 14:30:53.56746,Con hold,Con,Conservative,,Joy,Morrissey,Inboden,,,Female,No,No
E14000551,E12000007,Beckenham,London,London,England,Borough,2019-12-16 12:13:12.421426,Con hold,Con,Conservative,,Bob,Stewart,Alexander,3919,1949-07-07,Male,Yes,Yes
E14000552,E12000006,Bedford,Bedfordshire,East,England,Borough,2019-12-16 15:05:47.465508,Lab hold,Lab,Labour,"",Mohammad,Yasin,"",4598,1971-10-15,Male,Yes,Yes
N06000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2019-12-17 14:38:26.564281,DUP hold,DUP,Democratic Unionist Party,,Gavin,Robinson,James,4360,1984-11-22,Male,Yes,Yes
N06000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2019-12-14 16:04:02.766933,SF gain from DUP,SF,Sinn Fein,,John,Finucane,"",,,Male,No,No
N06000003,N92000002,Belfast South,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2019-12-14 16:04:58.015633,SDLP gain from DUP,SDLP,Social Democratic and Labour Party,,Claire,Hanna,"",,1980-06-19,Female,No,No
N06000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2019-12-14 16:06:01.814347,SF hold,SF,Sinn Fein,,Paul,Maskey,John,4245,1967-06-10,Male,Yes,Yes
